,CPI
1984-09,4.270109
1984-10,4.257426
1984-11,4.051383
1984-12,3.948667
1985-01,3.532875
1985-02,3.515625
1985-03,3.703704
1985-04,3.685742
1985-05,3.77176
1985-06,3.760849
1985-07,3.554275
1985-08,3.349282
1985-09,3.142857
1985-10,3.22887
1985-11,3.51377
1985-12,3.798671
1986-01,3.886256
1986-02,3.113208
1986-03,2.255639
1986-04,1.590271
1986-05,1.491146
1986-06,1.765799
1986-07,1.576994
1986-08,1.574074
1986-09,1.754386
1986-10,1.471941
1986-11,1.284404
1986-12,1.097896
1987-01,1.459854
1987-02,2.1043
1987-03,3.033088
1987-04,3.775322
1987-05,3.856749
1987-06,3.652968
1987-07,3.926941
1987-08,4.284412
1987-09,4.355717
1987-10,4.533092
1987-11,4.528986
1987-12,4.434389
1988-01,4.046762
1988-02,3.942652
1988-03,3.925067
1988-04,3.90417
1988-05,3.890363
1988-06,3.964758
1988-07,4.130053
1988-08,4.020979
1988-09,4.173913
1988-10,4.249783
1988-11,4.2461
1988-12,4.419411
1989-01,4.667243
1989-02,4.827586
1989-03,4.978541
1989-04,5.123826
1989-05,5.361702
1989-06,5.169491
1989-07,4.978903
1989-08,4.705883
1989-09,4.340568
1989-10,4.492513
1989-11,4.655029
1989-12,4.647303
1990-01,5.202312
1990-02,5.263158
1990-03,5.233034
1990-04,4.711617
1990-05,4.361874
1990-06,4.67365
1990-07,4.823151
1990-08,5.617978
1990-09,6.16
1990-10,6.289809
1990-11,6.274821
1990-12,6.106265
1991-01,5.651491
1991-02,5.3125
1991-03,4.895105
1991-04,4.88751
1991-05,4.95356
1991-06,4.69592
1991-07,4.447853
1991-08,3.799392
1991-09,3.391108
1991-10,2.921348
1991-11,2.989537
1991-12,3.064275
1992-01,2.600297
1992-02,2.818991
1992-03,3.185185
1992-04,3.180473
1992-05,3.023599
1992-06,3.088235
1992-07,3.157122
1992-08,3.147877
1992-09,2.988338
1992-10,3.202329
1992-11,3.047895
1992-12,2.900653
1993-01,3.258508
1993-02,3.246753
1993-03,3.086863
1993-04,3.225806
1993-05,3.221188
1993-06,2.99572
1993-07,2.775801
1993-08,2.76792
1993-09,2.689313
1993-10,2.750353
1993-11,2.676056
1993-12,2.748414
1994-01,2.524544
1994-02,2.515723
1994-03,2.506964
1994-04,2.361111
1994-05,2.288488
1994-06,2.493075
1994-07,2.770083
1994-08,2.900553
1994-09,2.963474
1994-10,2.608099
1994-11,2.674897
1994-12,2.674897
1995-01,2.804378
1995-02,2.862986
1995-03,2.853261
1995-04,3.052917
1995-05,3.186441
1995-06,3.04054
1995-07,2.762803
1995-08,2.61745
1995-09,2.543507
1995-10,2.809365
1995-11,2.60521
1995-12,2.53841
1996-01,2.727878
1996-02,2.650762
1996-03,2.840158
1996-04,2.896642
1996-05,2.890933
1996-06,2.754098
1996-07,2.95082
1996-08,2.877698
1996-09,3.002611
1996-10,2.992843
1996-11,3.255208
1996-12,3.322476
1997-01,3.044041
1997-02,3.034216
1997-03,2.761721
1997-04,2.495202
1997-05,2.234994
1997-06,2.297384
1997-07,2.229299
1997-08,2.225048
1997-09,2.154626
1997-10,2.084649
1997-11,1.828499
1997-12,1.702396
1998-01,1.571339
1998-02,1.441103
1998-03,1.375
1998-04,1.435705
1998-05,1.686446
1998-06,1.684342
1998-07,1.682243
1998-08,1.616915
1998-09,1.488834
1998-10,1.485149
1998-11,1.547988
1998-12,1.611903
1999-01,1.670792
1999-02,1.60593
1999-03,1.726264
1999-04,2.276923
1999-05,2.088452
1999-06,1.96319
1999-07,2.144608
1999-08,2.264382
1999-09,2.628362
1999-10,2.560976
1999-11,2.621951
1999-12,2.684564
2000-01,2.738892
2000-02,3.221884
2000-03,3.757576
2000-04,3.068592
2000-05,3.188929
2000-06,3.730445
2000-07,3.659268
2000-08,3.411131
2000-09,3.454437
2000-10,3.448276
2000-11,3.446227
2000-12,3.386809
2001-01,3.732228
2001-02,3.533569
2001-03,2.920561
2001-04,3.269119
2001-05,3.61516
2001-06,3.24826
2001-07,2.719908
2001-08,2.719908
2001-09,2.648244
2001-10,2.126437
2001-11,1.895462
2001-12,1.551724
2002-01,1.142204
2002-02,1.137656
2002-03,1.475596
2002-04,1.639344
2002-05,1.181767
2002-06,1.067416
2002-07,1.464789
2002-08,1.802817
2002-09,1.514302
2002-10,2.025886
2002-11,2.198422
2002-12,2.37691
2003-01,2.597403
2003-02,2.980877
2003-03,3.020134
2003-04,2.224694
2003-05,2.057842
2003-06,2.112285
2003-07,2.109939
2003-08,2.158273
2003-09,2.320442
2003-10,2.040816
2003-11,1.76503
2003-12,1.879491
2004-01,1.926252
2004-02,1.693064
2004-03,1.737242
2004-04,2.285093
2004-05,3.051771
2004-06,3.266195
2004-07,2.990756
2004-08,2.654388
2004-09,2.537797
2004-10,3.189189
2004-11,3.523035
2004-12,3.255562
2005-01,2.969762
2005-02,3.007519
